record_id,limit_type,limit_sub_type,product,creditor_entity_id,creditor_name,creditor_level,debtor_entity_id,debtor_name,debtor_level,limit_gbp,exposure_gbp,currency,crr_reg_treatment
LIM0026,Hard,Traded,FX Forward,E023,Resi Co,2,E057,Exec Co,4,42736000,37977000,GBP,NRFB_CROSS
LIM0027,Hard,Traded,Bond Borrow,E052,Deriv Co,2,E050,Aqua Co,6,14546000,12731000,GBP,NRFB_CROSS
LIM0028,Hard,Traded,Xccy Swap,E023,Resi Co,2,E021,Verus Co,5,66974000,-582000,GBP,NRFB_X
LIM0029,Soft,Settlement,Payment Intraday,E018,Custody Co,4,E044,Invest Co,4,9876000,5927000,GBP,RFB_X
LIM0030,Hard,Traded,Committed Repo,E024,Comm Co,2,E026,Lease Co,3,30904000,18557000,GBP,NRFB_CROSS
LIM0031,Hard,Traded,Committed Repo,E040,Fisc Co,3,E060,Axis Co,5,26849000,16146000,GBP,NRFB_CROSS
LIM0032,Hard,Lending,Overdraft,E045,Annuity Co,4,E019,Vox Co,5,7494000,6291000,GBP,NRFB_X
LIM0033,Hard,Lending,Committed Loan,E009,Deposit Co,3,E055,Broker Co,4,20040000,-3921000,GBP,RFB_X
LIM0034,Hard,Traded,Bond Borrow,E027,Asset Co,3,E016,Settle Co,4,10006000,6071000,GBP,NRFB_X
LIM0035,Soft,Settlement,Payment Intraday,E043,Endow Co,3,E014,Card Co,4,24368000,22411000,GBP,NRFB_X
LIM0036,Hard,Lending,Overdraft,E011,Trade Co,3,E054,Securities Co,3,14573000,6372000,GBP,RFB_X
LIM0037,Soft,Settlement,Payment Intraday,E035,Valor Co,5,E041,Plan Co,3,1232000,179000,GBP,NRFB_CROSS
LIM0038,Soft,Settlement,Payment Intraday,E042,Heir Co,3,E061,Alba Co,6,9918000,4925000,GBP,NRFB_CROSS
LIM0039,Hard,Lending,Committed Loan,E057,Exec Co,4,E029,Build Co,3,9715000,5360000,GBP,NRFB_CROSS
LIM0040,Hard,Traded,Committed Repo,E041,Plan Co,3,E037,Priv Co,2,22943000,22718000,GBP,NRFB_CROSS
LIM0041,Hard,Traded,Committed Repo,E046,Pens Co,4,E027,Asset Co,3,2832000,552000,GBP,NRFB_CROSS
LIM0042,Soft,Settlement,Payment Intraday,E052,Deriv Co,2,E057,Exec Co,4,68767000,44163000,GBP,Deriv Co_NRFB
LIM0043,Hard,Traded,Committed Repo,E023,Resi Co,2,E060,Axis Co,5,31988000,1572000,GBP,NRFB_CROSS
LIM0044,Hard,Traded,Xccy Swap,E025,Dev Co,3,E054,Securities Co,3,12097000,9581000,GBP,NRFB_CROSS
LIM0045,Hard,Traded,Xccy Swap,E056,Agency Co,4,E032,Hold Co,4,8920000,3315000,GBP,NRFB_CROSS
LIM0046,Hard,Traded,Committed Repo,E006,Corp Co,2,E008,Lend Co,3,79789000,34135000,GBP,RFB_INTERNAL
LIM0047,Hard,Traded,FX Forward,E004,Market Co,1,E050,Aqua Co,6,80435000,54734000,GBP,NRFB_CROSS
LIM0048,Hard,Traded,Xccy Swap,E031,Mgmt Co,4,E035,Valor Co,5,367000,67000,GBP,Resi Co_NRFB
LIM0049,Hard,Traded,FX Forward,E010,FX Co,3,E012,Credit Co,3,12521000,-1787000,GBP,RFB_INTERNAL
LIM0050,Hard,Lending,Committed Loan,E027,Asset Co,3,E036,Via Co,6,5597000,1830000,GBP,NRFB_CROSS
LIM0051,Soft,Settlement,Payment Intraday,E040,Fisc Co,3,E029,Build Co,3,6466000,2467000,GBP,NRFB_CROSS
LIM0052,Hard,Traded,FX Forward,E011,Trade Co,3,E043,Endow Co,3,17231000,653000,GBP,RFB_X
LIM0053,Hard,Traded,Xccy Swap,E030,Infra Co,4,E046,Pens Co,4,9610000,4247000,GBP,NRFB_CROSS
LIM0054,Hard,Traded,Committed Repo,E042,Heir Co,3,E011,Trade Co,3,24927000,-493000,GBP,NRFB_X
LIM0055,Hard,Traded,Xccy Swap,E003,Wealth Co,1,E048,Vigor Co,5,88264000,19832000,GBP,NRFB_CROSS
LIM0056,Hard,Traded,Bond Borrow,E045,Annuity Co,4,E018,Custody Co,4,7665000,4088000,GBP,NRFB_X
LIM0057,Hard,Lending,Committed Loan,E015,Repo Co,4,E006,Corp Co,2,8142000,2633000,GBP,RFB_INTERNAL
LIM0058,Hard,Traded,Committed Repo,E013,Issuer Co,3,E048,Vigor Co,5,15400000,14784000,GBP,RFB_X
LIM0059,Hard,Lending,Overdraft,E042,Heir Co,3,E002,Property Co,1,27588000,20744000,GBP,NRFB_CROSS
LIM0060,Hard,Traded,Bond Borrow,E045,Annuity Co,4,E061,Alba Co,6,4578000,3440000,GBP,NRFB_CROSS
LIM0061,Soft,Settlement,Payment Intraday,E052,Deriv Co,2,E009,Deposit Co,3,17107000,14855000,GBP,NRFB_X
LIM0062,Hard,Lending,Committed Loan,E006,Corp Co,2,E030,Infra Co,4,28505000,-4141000,GBP,RFB_X
LIM0063,Hard,Traded,Committed Repo,E020,Virtus Co,5,E021,Verus Co,5,309000,-58000,GBP,Retail Co_CORE
LIM0064,Hard,Lending,Committed Loan,E012,Credit Co,3,E036,Via Co,6,4585000,1435000,GBP,RFB_X
LIM0065,Hard,Traded,Bond Borrow,E002,Property Co,1,E024,Comm Co,2,143040000,116706000,GBP,NRFB_CROSS
LIM0066,Hard,Traded,FX Forward,E038,Trust Co,2,E050,Aqua Co,6,33249000,4150000,GBP,Trust Co_NRFB
LIM0067,Hard,Traded,Xccy Swap,E009,Deposit Co,3,E013,Issuer Co,3,1538000,1285000,GBP,RFB_INTERNAL
LIM0068,Hard,Traded,Bond Borrow,E012,Credit Co,3,E027,Asset Co,3,21753000,15873000,GBP,RFB_X
LIM0069,Hard,Traded,FX Forward,E006,Corp Co,2,E028,Land Co,3,20912000,12074000,GBP,RFB_X
LIM0070,Hard,Lending,Overdraft,E006,Corp Co,2,E036,Via Co,6,5324000,4964000,GBP,RFB_X
LIM0071,Hard,Traded,Committed Repo,E050,Aqua Co,6,E012,Credit Co,3,318000,-40000,GBP,NRFB_X
LIM0072,Soft,Settlement,Payment Intraday,E052,Deriv Co,2,E015,Repo Co,4,37297000,-7315000,GBP,NRFB_X
LIM0073,Hard,Lending,Overdraft,E037,Priv Co,2,E034,Vita Co,5,10552000,5338000,GBP,NRFB_CROSS
LIM0074,Hard,Traded,Bond Borrow,E015,Repo Co,4,E012,Credit Co,3,1137000,457000,GBP,RFB_INTERNAL
LIM0075,Hard,Traded,Committed Repo,E009,Deposit Co,3,E037,Priv Co,2,21749000,-1728000,GBP,RFB_X
LIM0076,Hard,Traded,Committed Repo,E034,Vita Co,5,E057,Exec Co,4,312000,214000,GBP,NRFB_CROSS
LIM0077,Hard,Lending,Committed Loan,E010,FX Co,3,E053,Trading Co,3,5867000,2458000,GBP,RFB_X
LIM0078,Soft,Settlement,Payment Intraday,E046,Pens Co,4,E058,Report Co,4,5546000,453000,GBP,NRFB_CROSS
LIM0079,Hard,Lending,Overdraft,E028,Land Co,3,E045,Annuity Co,4,12467000,5905000,GBP,NRFB_CROSS
LIM0080,Hard,Traded,Bond Borrow,E009,Deposit Co,3,E022,Victor Co,6,10691000,288000,GBP,RFB_INTERNAL
LIM0081,Hard,Traded,FX Forward,E046,Pens Co,4,E004,Market Co,1,4508000,803000,GBP,NRFB_CROSS
LIM0082,Hard,Traded,Committed Repo,E055,Broker Co,4,E043,Endow Co,3,2865000,2601000,GBP,NRFB_CROSS
LIM0083,Hard,Lending,Committed Loan,E010,FX Co,3,E037,Priv Co,2,6691000,1589000,GBP,RFB_X
LIM0084,Hard,Traded,Xccy Swap,E005,Retail Co,2,E027,Asset Co,3,27879000,3135000,GBP,RFB_X
LIM0085,Hard,Traded,FX Forward,E024,Comm Co,2,E059,Aura Co,5,31621000,-969000,GBP,NRFB_CROSS
LIM0086,Hard,Traded,FX Forward,E002,Property Co,1,E055,Broker Co,4,84591000,15359000,GBP,NRFB_CROSS
LIM0087,Soft,Settlement,Payment Intraday,E018,Custody Co,4,E035,Valor Co,5,972000,-161000,GBP,RFB_X
LIM0088,Hard,Lending,Committed Loan,E008,Lend Co,3,E023,Resi Co,2,23056000,-2662000,GBP,RFB_X
LIM0089,Hard,Lending,Overdraft,E000,Group Co,0,E011,Trade Co,3,86434000,70256000,GBP,NRFB_X
LIM0090,Hard,Traded,Bond Borrow,E041,Plan Co,3,E033,REIT Co,4,26406000,19044000,GBP,NRFB_CROSS
LIM0091,Hard,Traded,Xccy Swap,E053,Trading Co,3,E019,Vox Co,5,11001000,-660000,GBP,NRFB_X
LIM0092,Hard,Traded,FX Forward,E028,Land Co,3,E007,Fin Co,2,7371000,1410000,GBP,NRFB_X
LIM0093,Hard,Traded,Bond Borrow,E003,Wealth Co,1,E055,Broker Co,4,132476000,7309000,GBP,NRFB_CROSS
LIM0094,Hard,Traded,Bond Borrow,E038,Trust Co,2,E034,Vita Co,5,60778000,-6493000,GBP,NRFB_CROSS
LIM0095,Hard,Lending,Committed Loan,E018,Custody Co,4,E047,Bond Co,4,5068000,4714000,GBP,RFB_X
LIM0096,Soft,Settlement,Payment Intraday,E047,Bond Co,4,E030,Infra Co,4,9312000,1723000,GBP,NRFB_CROSS
LIM0097,Hard,Traded,Bond Borrow,E061,Alba Co,6,E039,Fund Co,3,462000,388000,GBP,NRFB_CROSS
LIM0098,Hard,Traded,Committed Repo,E054,Securities Co,3,E027,Asset Co,3,2976000,2709000,GBP,NRFB_CROSS
LIM0099,Hard,Traded,Bond Borrow,E024,Comm Co,2,E033,REIT Co,4,11384000,-2006000,GBP,NRFB_CROSS
LIM0100,Soft,Settlement,Payment Intraday,E030,Infra Co,4,E041,Plan Co,3,4248000,1309000,GBP,NRFB_CROSS
LIM0101,Hard,Lending,Committed Loan,E000,Group Co,0,E011,Trade Co,3,148131000,89074000,GBP,NRFB_X
LIM0102,Hard,Lending,Overdraft,E060,Axis Co,5,E002,Property Co,1,1669000,1426000,GBP,NRFB_CROSS
LIM0103,Soft,Settlement,Payment Intraday,E006,Corp Co,2,E012,Credit Co,3,56804000,56689000,GBP,RFB_INTERNAL
LIM0104,Soft,Settlement,Payment Intraday,E040,Fisc Co,3,E010,FX Co,3,6357000,1922000,GBP,NRFB_X
LIM0105,Hard,Traded,Bond Borrow,E037,Priv Co,2,E008,Lend Co,3,27792000,22752000,GBP,NRFB_X
LIM0106,Hard,Traded,Xccy Swap,E041,Plan Co,3,E048,Vigor Co,5,4586000,3202000,GBP,Trust Co_NRFB
LIM0107,Hard,Lending,Overdraft,E049,Visus Co,5,E019,Vox Co,5,300000,45000,GBP,NRFB_X
LIM0108,Soft,Settlement,Payment Intraday,E026,Lease Co,3,E054,Securities Co,3,23319000,3917000,GBP,NRFB_CROSS
LIM0109,Hard,Traded,Xccy Swap,E024,Comm Co,2,E033,REIT Co,4,18828000,2634000,GBP,NRFB_CROSS
LIM0110,Soft,Settlement,Payment Intraday,E007,Fin Co,2,E034,Vita Co,5,42687000,22897000,GBP,RFB_X
LIM0111,Hard,Traded,Bond Borrow,E033,REIT Co,4,E008,Lend Co,3,4491000,-119000,GBP,NRFB_X
LIM0112,Hard,Traded,Xccy Swap,E000,Group Co,0,E047,Bond Co,4,229797000,172834000,GBP,NRFB_CROSS
LIM0113,Hard,Lending,Overdraft,E000,Group Co,0,E009,Deposit Co,3,97996000,-19035000,GBP,NRFB_X
LIM0114,Hard,Traded,Committed Repo,E052,Deriv Co,2,E009,Deposit Co,3,27404000,-1714000,GBP,NRFB_X
LIM0115,Hard,Traded,Committed Repo,E042,Heir Co,3,E046,Pens Co,4,24960000,15274000,GBP,Trust Co_NRFB
LIM0116,Hard,Lending,Committed Loan,E007,Fin Co,2,E040,Fisc Co,3,6886000,5543000,GBP,RFB_X
LIM0117,Hard,Traded,FX Forward,E012,Credit Co,3,E023,Resi Co,2,13847000,13288000,GBP,RFB_X
LIM0118,Hard,Traded,Committed Repo,E025,Dev Co,3,E040,Fisc Co,3,11095000,-1646000,GBP,NRFB_CROSS
LIM0119,Hard,Traded,Xccy Swap,E014,Card Co,4,E057,Exec Co,4,9161000,7521000,GBP,RFB_X
LIM0120,Hard,Traded,Bond Borrow,E047,Bond Co,4,E041,Plan Co,3,4390000,1631000,GBP,Trust Co_NRFB
LIM0121,Hard,Traded,Committed Repo,E006,Corp Co,2,E024,Comm Co,2,59637000,48541000,GBP,RFB_X
LIM0122,Hard,Traded,Bond Borrow,E028,Land Co,3,E003,Wealth Co,1,18211000,-303000,GBP,NRFB_CROSS
LIM0123,Hard,Lending,Committed Loan,E023,Resi Co,2,E008,Lend Co,3,76628000,35991000,GBP,NRFB_X
LIM0124,Hard,Lending,Committed Loan,E049,Visus Co,5,E015,Repo Co,4,1401000,1020000,GBP,NRFB_X
LIM0125,Hard,Traded,FX Forward,E003,Wealth Co,1,E036,Via Co,6,140232000,29701000,GBP,NRFB_CROSS
LIM0126,Hard,Traded,Committed Repo,E007,Fin Co,2,E014,Card Co,4,52155000,19288000,GBP,RFB_INTERNAL
LIM0127,Hard,Lending,Overdraft,E023,Resi Co,2,E035,Valor Co,5,32947000,18774000,GBP,Resi Co_NRFB
LIM0128,Hard,Traded,Committed Repo,E054,Securities Co,3,E019,Vox Co,5,29472000,6545000,GBP,NRFB_X
LIM0129,Hard,Traded,FX Forward,E002,Property Co,1,E044,Invest Co,4,86191000,15178000,GBP,NRFB_CROSS
LIM0130,Hard,Traded,Xccy Swap,E009,Deposit Co,3,E012,Credit Co,3,29324000,29112000,GBP,Fin Co_CORE
LIM0131,Hard,Traded,Committed Repo,E011,Trade Co,3,E057,Exec Co,4,20343000,19894000,GBP,RFB_X
LIM0132,Hard,Traded,Xccy Swap,E004,Market Co,1,E060,Axis Co,5,160989000,133399000,GBP,NRFB_CROSS
LIM0133,Hard,Lending,Committed Loan,E000,Group Co,0,E034,Vita Co,5,114087000,33492000,GBP,NRFB_CROSS
LIM0134,Hard,Lending,Overdraft,E030,Infra Co,4,E019,Vox Co,5,7491000,-667000,GBP,NRFB_X
LIM0135,Hard,Lending,Overdraft,E058,Report Co,4,E004,Market Co,1,2478000,1441000,GBP,NRFB_CROSS
LIM0136,Soft,Settlement,Payment Intraday,E027,Asset Co,3,E021,Verus Co,5,15717000,-2430000,GBP,NRFB_X
LIM0137,Hard,Lending,Committed Loan,E024,Comm Co,2,E050,Aqua Co,6,47114000,-2132000,GBP,NRFB_CROSS
LIM0138,Soft,Settlement,Payment Intraday,E037,Priv Co,2,E061,Alba Co,6,60525000,58866000,GBP,NRFB_CROSS
LIM0139,Hard,Traded,Xccy Swap,E002,Property Co,1,E052,Deriv Co,2,152293000,-27608000,GBP,NRFB_CROSS
LIM0140,Hard,Lending,Overdraft,E007,Fin Co,2,E035,Valor Co,5,42246000,27962000,GBP,RFB_X
LIM0141,Hard,Traded,Committed Repo,E008,Lend Co,3,E006,Corp Co,2,5514000,3134000,GBP,RFB_INTERNAL
LIM0142,Soft,Settlement,Payment Intraday,E006,Corp Co,2,E012,Credit Co,3,73757000,33868000,GBP,RFB_INTERNAL
LIM0143,Soft,Settlement,Payment Intraday,E012,Credit Co,3,E040,Fisc Co,3,25125000,19581000,GBP,RFB_X
LIM0144,Hard,Traded,Xccy Swap,E013,Issuer Co,3,E041,Plan Co,3,8226000,2239000,GBP,RFB_X
LIM0145,Soft,Settlement,Payment Intraday,E018,Custody Co,4,E048,Vigor Co,5,1578000,771000,GBP,RFB_X
LIM0146,Hard,Traded,FX Forward,E040,Fisc Co,3,E013,Issuer Co,3,23837000,11709000,GBP,NRFB_X
LIM0147,Hard,Traded,Xccy Swap,E018,Custody Co,4,E053,Trading Co,3,4295000,2628000,GBP,RFB_X
LIM0148,Soft,Settlement,Payment Intraday,E006,Corp Co,2,E019,Vox Co,5,10953000,7103000,GBP,RFB_INTERNAL
LIM0149,Hard,Traded,Bond Borrow,E041,Plan Co,3,E019,Vox Co,5,9796000,-1958000,GBP,NRFB_X
LIM0150,Hard,Traded,Xccy Swap,E006,Corp Co,2,E061,Alba Co,6,23758000,178000,GBP,RFB_X
LIM0151,Soft,Settlement,Payment Intraday,E039,Fund Co,3,E060,Axis Co,5,1516000,658000,GBP,NRFB_CROSS
LIM0152,Hard,Lending,Overdraft,E008,Lend Co,3,E019,Vox Co,5,11396000,-73000,GBP,RFB_INTERNAL
LIM0153,Hard,Traded,FX Forward,E011,Trade Co,3,E050,Aqua Co,6,5517000,1966000,GBP,RFB_X
LIM0154,Hard,Traded,Xccy Swap,E011,Trade Co,3,E053,Trading Co,3,10237000,5712000,GBP,RFB_X
LIM0155,Hard,Traded,Bond Borrow,E014,Card Co,4,E013,Issuer Co,3,720000,201000,GBP,Retail Co_CORE
LIM0156,Hard,Lending,Overdraft,E038,Trust Co,2,E014,Card Co,4,20900000,-1228000,GBP,NRFB_X
LIM0157,Soft,Settlement,Payment Intraday,E039,Fund Co,3,E061,Alba Co,6,13282000,2384000,GBP,NRFB_CROSS
LIM0158,Hard,Traded,FX Forward,E059,Aura Co,5,E046,Pens Co,4,486000,269000,GBP,NRFB_CROSS
LIM0159,Hard,Traded,Committed Repo,E010,FX Co,3,E061,Alba Co,6,29189000,19109000,GBP,RFB_X
LIM0160,Hard,Traded,FX Forward,E057,Exec Co,4,E018,Custody Co,4,2049000,1372000,GBP,NRFB_X
LIM0161,Hard,Traded,Committed Repo,E003,Wealth Co,1,E032,Hold Co,4,151235000,17268000,GBP,NRFB_CROSS
LIM0162,Hard,Traded,Committed Repo,E015,Repo Co,4,E001,Bank Co,1,6611000,6551000,GBP,RFB_INTERNAL
LIM0163,Hard,Lending,Overdraft,E023,Resi Co,2,E055,Broker Co,4,28929000,19789000,GBP,NRFB_CROSS
LIM0164,Hard,Lending,Overdraft,E006,Corp Co,2,E058,Report Co,4,47653000,29989000,GBP,RFB_X
LIM0165,Hard,Lending,Overdraft,E004,Market Co,1,E032,Hold Co,4,103535000,35778000,GBP,NRFB_CROSS
LIM0166,Hard,Lending,Committed Loan,E028,Land Co,3,E039,Fund Co,3,16537000,8890000,GBP,NRFB_CROSS
LIM0167,Hard,Traded,Xccy Swap,E045,Annuity Co,4,E033,REIT Co,4,4682000,-255000,GBP,NRFB_CROSS
LIM0168,Hard,Traded,FX Forward,E053,Trading Co,3,E022,Victor Co,6,22144000,-1070000,GBP,NRFB_X
LIM0169,Hard,Traded,Bond Borrow,E045,Annuity Co,4,E059,Aura Co,5,4439000,1994000,GBP,NRFB_CROSS
LIM0170,Hard,Traded,FX Forward,E043,Endow Co,3,E055,Broker Co,4,4664000,3235000,GBP,NRFB_CROSS
LIM0171,Soft,Settlement,Payment Intraday,E004,Market Co,1,E017,Clear Co,4,65692000,14131000,GBP,NRFB_X
LIM0172,Soft,Settlement,Payment Intraday,E058,Report Co,4,E060,Axis Co,5,2207000,68000,GBP,NRFB_CROSS
LIM0173,Hard,Traded,Committed Repo,E056,Agency Co,4,E061,Alba Co,6,5291000,-1017000,GBP,Equit Co_NRFB
LIM0174,Soft,Settlement,Payment Intraday,E024,Comm Co,2,E032,Hold Co,4,32506000,29169000,GBP,Comm Co_NRFB
LIM0175,Hard,Traded,Xccy Swap,E015,Repo Co,4,E021,Verus Co,5,4656000,4000,GBP,Retail Co_CORE
LIM0176,Hard,Traded,Committed Repo,E057,Exec Co,4,E052,Deriv Co,2,8035000,2249000,GBP,Deriv Co_NRFB
LIM0177,Soft,Settlement,Payment Intraday,E046,Pens Co,4,E049,Visus Co,5,3846000,90000,GBP,NRFB_CROSS
LIM0178,Hard,Lending,Committed Loan,E039,Fund Co,3,E022,Victor Co,6,23830000,8963000,GBP,NRFB_X
LIM0179,Hard,Lending,Committed Loan,E026,Lease Co,3,E032,Hold Co,4,16542000,-1518000,GBP,NRFB_CROSS
LIM0180,Hard,Lending,Overdraft,E003,Wealth Co,1,E059,Aura Co,5,148112000,134543000,GBP,NRFB_CROSS
LIM0181,Hard,Traded,FX Forward,E039,Fund Co,3,E058,Report Co,4,6073000,1401000,GBP,NRFB_CROSS
LIM0182,Hard,Lending,Committed Loan,E032,Hold Co,4,E044,Invest Co,4,9198000,8028000,GBP,NRFB_CROSS
LIM0183,Hard,Traded,Committed Repo,E055,Broker Co,4,E019,Vox Co,5,6130000,472000,GBP,NRFB_X
LIM0184,Hard,Traded,Bond Borrow,E013,Issuer Co,3,E057,Exec Co,4,3284000,1977000,GBP,RFB_X
LIM0185,Hard,Traded,Committed Repo,E002,Property Co,1,E009,Deposit Co,3,40062000,10677000,GBP,NRFB_X
LIM0186,Hard,Traded,Committed Repo,E014,Card Co,4,E017,Clear Co,4,774000,-32000,GBP,Retail Co_CORE
LIM0187,Hard,Traded,Committed Repo,E010,FX Co,3,E036,Via Co,6,25420000,-4863000,GBP,RFB_X
LIM0188,Hard,Lending,Committed Loan,E015,Repo Co,4,E016,Settle Co,4,5102000,3837000,GBP,Retail Co_CORE
LIM0189,Soft,Settlement,Payment Intraday,E006,Corp Co,2,E046,Pens Co,4,70675000,-12193000,GBP,RFB_X
LIM0190,Hard,Lending,Committed Loan,E002,Property Co,1,E005,Retail Co,2,104476000,-13407000,GBP,NRFB_X
LIM0191,Hard,Lending,Committed Loan,E012,Credit Co,3,E024,Comm Co,2,8170000,7442000,GBP,RFB_X
LIM0192,Hard,Traded,FX Forward,E002,Property Co,1,E019,Vox Co,5,168476000,-16730000,GBP,NRFB_X
LIM0193,Hard,Traded,Bond Borrow,E030,Infra Co,4,E000,Group Co,0,6937000,1249000,GBP,NRFB_CROSS
LIM0194,Hard,Traded,Bond Borrow,E018,Custody Co,4,E013,Issuer Co,3,8422000,7155000,GBP,RFB_INTERNAL
LIM0195,Soft,Settlement,Payment Intraday,E009,Deposit Co,3,E058,Report Co,4,15778000,2161000,GBP,RFB_X
LIM0196,Hard,Lending,Overdraft,E057,Exec Co,4,E056,Agency Co,4,9431000,8171000,GBP,NRFB_CROSS
LIM0197,Hard,Traded,Committed Repo,E012,Credit Co,3,E005,Retail Co,2,26364000,25465000,GBP,RFB_INTERNAL
LIM0198,Hard,Traded,Bond Borrow,E045,Annuity Co,4,E016,Settle Co,4,7109000,-1097000,GBP,NRFB_X
LIM0199,Soft,Settlement,Payment Intraday,E000,Group Co,0,E016,Settle Co,4,431780000,-78705000,GBP,NRFB_X
LIM0200,Hard,Traded,FX Forward,E003,Wealth Co,1,E002,Property Co,1,42200000,-4953000,GBP,NRFB_CROSS
LIM0201,Hard,Lending,Committed Loan,E000,Group Co,0,E055,Broker Co,4,408736000,319608000,GBP,NRFB_CROSS
LIM0202,Hard,Lending,Overdraft,E045,Annuity Co,4,E015,Repo Co,4,6095000,1914000,GBP,NRFB_X
LIM0203,Hard,Lending,Committed Loan,E025,Dev Co,3,E034,Vita Co,5,27777000,6260000,GBP,Resi Co_NRFB
LIM0204,Hard,Lending,Committed Loan,E039,Fund Co,3,E043,Endow Co,3,18364000,10382000,GBP,Trust Co_NRFB
LIM0205,Hard,Traded,Bond Borrow,E038,Trust Co,2,E006,Corp Co,2,28714000,16718000,GBP,NRFB_X
LIM0206,Soft,Settlement,Payment Intraday,E034,Vita Co,5,E011,Trade Co,3,1130000,784000,GBP,NRFB_X
LIM0207,Soft,Settlement,Payment Intraday,E004,Market Co,1,E014,Card Co,4,41453000,29166000,GBP,NRFB_X
LIM0208,Hard,Lending,Overdraft,E007,Fin Co,2,E015,Repo Co,4,68238000,34499000,GBP,RFB_INTERNAL
LIM0209,Soft,Settlement,Payment Intraday,E056,Agency Co,4,E019,Vox Co,5,2611000,2088000,GBP,NRFB_X
LIM0210,Hard,Traded,Xccy Swap,E044,Invest Co,4,E035,Valor Co,5,6266000,3847000,GBP,NRFB_CROSS
LIM0211,Hard,Traded,Bond Borrow,E024,Comm Co,2,E020,Virtus Co,5,77887000,32933000,GBP,NRFB_X
LIM0212,Hard,Lending,Overdraft,E004,Market Co,1,E049,Visus Co,5,116709000,107442000,GBP,NRFB_CROSS
LIM0213,Soft,Settlement,Payment Intraday,E043,Endow Co,3,E048,Vigor Co,5,15844000,13334000,GBP,Trust Co_NRFB
LIM0214,Hard,Traded,Xccy Swap,E052,Deriv Co,2,E008,Lend Co,3,10219000,5342000,GBP,NRFB_X
LIM0215,Hard,Traded,Bond Borrow,E052,Deriv Co,2,E035,Valor Co,5,48918000,34857000,GBP,NRFB_CROSS
