record_id,product,creditor_entity_id,debtor_entity_id,limit_gbp,exposure_gbp,currency,crr_reg_treatment
LIM0057,Committed Loan,E015,E006,8142000,2633000,GBP,RFB_INTERNAL
LIM0058,Committed Repo,E013,E048,15400000,14784000,GBP,RFB_X
LIM0059,Overdraft,E042,E002,27588000,20744000,GBP,NRFB_CROSS
LIM0060,Bond Borrow,E045,E061,4578000,3440000,GBP,NRFB_CROSS
LIM0061,Payment Intraday,E052,E009,17107000,14855000,GBP,NRFB_X
LIM0062,Committed Loan,E006,E030,28505000,-4141000,GBP,RFB_X
LIM0063,Committed Repo,E020,E021,309000,-58000,GBP,Retail Co_CORE
LIM0064,Committed Loan,E012,E036,4585000,1435000,GBP,RFB_X
LIM0065,Bond Borrow,E002,E024,143040000,116706000,GBP,NRFB_CROSS
LIM0066,FX Forward,E038,E050,33249000,4150000,GBP,Trust Co_NRFB
LIM0067,Xccy Swap,E009,E013,1538000,1285000,GBP,RFB_INTERNAL
LIM0068,Bond Borrow,E012,E027,21753000,15873000,GBP,RFB_X
LIM0069,FX Forward,E006,E028,20912000,12074000,GBP,RFB_X
LIM0070,Overdraft,E006,E036,5324000,4964000,GBP,RFB_X
LIM0071,Committed Repo,E050,E012,318000,-40000,GBP,NRFB_X
LIM0072,Payment Intraday,E052,E015,37297000,-7315000,GBP,NRFB_X
LIM0073,Overdraft,E037,E034,10552000,5338000,GBP,NRFB_CROSS
LIM0074,Bond Borrow,E015,E012,1137000,457000,GBP,RFB_INTERNAL
LIM0075,Committed Repo,E009,E037,21749000,-1728000,GBP,RFB_X
LIM0076,Committed Repo,E034,E057,312000,214000,GBP,NRFB_CROSS
LIM0077,Committed Loan,E010,E053,5867000,2458000,GBP,RFB_X
LIM0078,Payment Intraday,E046,E058,5546000,453000,GBP,NRFB_CROSS
LIM0079,Overdraft,E028,E045,12467000,5905000,GBP,NRFB_CROSS
LIM0080,Bond Borrow,E009,E022,10691000,288000,GBP,RFB_INTERNAL
LIM0081,FX Forward,E046,E004,4508000,803000,GBP,NRFB_CROSS
LIM0082,Committed Repo,E055,E043,2865000,2601000,GBP,NRFB_CROSS
LIM0083,Committed Loan,E010,E037,6691000,1589000,GBP,RFB_X
LIM0084,Xccy Swap,E005,E027,27879000,3135000,GBP,RFB_X
LIM0085,FX Forward,E024,E059,31621000,-969000,GBP,NRFB_CROSS
LIM0086,FX Forward,E002,E055,84591000,15359000,GBP,NRFB_CROSS
LIM0087,Payment Intraday,E018,E035,972000,-161000,GBP,RFB_X
LIM0088,Committed Loan,E008,E023,23056000,-2662000,GBP,RFB_X
LIM0089,Overdraft,E000,E011,86434000,70256000,GBP,NRFB_X
LIM0090,Bond Borrow,E041,E033,26406000,19044000,GBP,NRFB_CROSS
LIM0091,Xccy Swap,E053,E019,11001000,-660000,GBP,NRFB_X
LIM0092,FX Forward,E028,E007,7371000,1410000,GBP,NRFB_X
LIM0093,Bond Borrow,E003,E055,132476000,7309000,GBP,NRFB_CROSS
LIM0094,Bond Borrow,E038,E034,60778000,-6493000,GBP,NRFB_CROSS
LIM0095,Committed Loan,E018,E047,5068000,4714000,GBP,RFB_X
LIM0096,Payment Intraday,E047,E030,9312000,1723000,GBP,NRFB_CROSS
LIM0097,Bond Borrow,E061,E039,462000,388000,GBP,NRFB_CROSS
LIM0098,Committed Repo,E054,E027,2976000,2709000,GBP,NRFB_CROSS
LIM0099,Bond Borrow,E024,E033,11384000,-2006000,GBP,NRFB_CROSS
LIM0100,Payment Intraday,E030,E041,4248000,1309000,GBP,NRFB_CROSS
LIM0101,Committed Loan,E000,E011,148131000,89074000,GBP,NRFB_X
LIM0102,Overdraft,E060,E002,1669000,1426000,GBP,NRFB_CROSS
LIM0103,Payment Intraday,E006,E012,56804000,56689000,GBP,RFB_INTERNAL
LIM0104,Payment Intraday,E040,E010,6357000,1922000,GBP,NRFB_X
LIM0105,Bond Borrow,E037,E008,27792000,22752000,GBP,NRFB_X
LIM0106,Xccy Swap,E041,E048,4586000,3202000,GBP,Trust Co_NRFB
LIM0107,Overdraft,E049,E019,300000,45000,GBP,NRFB_X
LIM0108,Payment Intraday,E026,E054,23319000,3917000,GBP,NRFB_CROSS
LIM0109,Xccy Swap,E024,E033,18828000,2634000,GBP,NRFB_CROSS
LIM0110,Payment Intraday,E007,E034,42687000,22897000,GBP,RFB_X
LIM0111,Bond Borrow,E033,E008,4491000,-119000,GBP,NRFB_X
LIM0112,Xccy Swap,E000,E047,229797000,172834000,GBP,NRFB_CROSS
LIM0113,Overdraft,E000,E009,97996000,-19035000,GBP,NRFB_X
LIM0114,Committed Repo,E052,E009,27404000,-1714000,GBP,NRFB_X
LIM0115,Committed Repo,E042,E046,24960000,15274000,GBP,Trust Co_NRFB
LIM0116,Committed Loan,E007,E040,6886000,5543000,GBP,RFB_X
LIM0117,FX Forward,E012,E023,13847000,13288000,GBP,RFB_X
LIM0118,Committed Repo,E025,E040,11095000,-1646000,GBP,NRFB_CROSS
LIM0119,Xccy Swap,E014,E057,9161000,7521000,GBP,RFB_X
LIM0120,Bond Borrow,E047,E041,4390000,1631000,GBP,Trust Co_NRFB
LIM0121,Committed Repo,E006,E024,59637000,48541000,GBP,RFB_X
LIM0122,Bond Borrow,E028,E003,18211000,-303000,GBP,NRFB_CROSS
LIM0123,Committed Loan,E023,E008,76628000,35991000,GBP,NRFB_X
LIM0124,Committed Loan,E049,E015,1401000,1020000,GBP,NRFB_X
LIM0125,FX Forward,E003,E036,140232000,29701000,GBP,NRFB_CROSS
LIM0126,Committed Repo,E007,E014,52155000,19288000,GBP,RFB_INTERNAL
LIM0127,Overdraft,E023,E035,32947000,18774000,GBP,Resi Co_NRFB
LIM0128,Committed Repo,E054,E019,29472000,6545000,GBP,NRFB_X
LIM0129,FX Forward,E002,E044,86191000,15178000,GBP,NRFB_CROSS
LIM0130,Xccy Swap,E009,E012,29324000,29112000,GBP,Fin Co_CORE
LIM0131,Committed Repo,E011,E057,20343000,19894000,GBP,RFB_X
LIM0132,Xccy Swap,E004,E060,160989000,133399000,GBP,NRFB_CROSS
LIM0133,Committed Loan,E000,E034,114087000,33492000,GBP,NRFB_CROSS
LIM0134,Overdraft,E030,E019,7491000,-667000,GBP,NRFB_X
LIM0135,Overdraft,E058,E004,2478000,1441000,GBP,NRFB_CROSS
LIM0136,Payment Intraday,E027,E021,15717000,-2430000,GBP,NRFB_X
LIM0137,Committed Loan,E024,E050,47114000,-2132000,GBP,NRFB_CROSS
LIM0138,Payment Intraday,E037,E061,60525000,58866000,GBP,NRFB_CROSS
LIM0139,Xccy Swap,E002,E052,152293000,-27608000,GBP,NRFB_CROSS
LIM0140,Overdraft,E007,E035,42246000,27962000,GBP,RFB_X
LIM0141,Committed Repo,E008,E006,5514000,3134000,GBP,RFB_INTERNAL
LIM0142,Payment Intraday,E006,E012,73757000,33868000,GBP,RFB_INTERNAL
LIM0143,Payment Intraday,E012,E040,25125000,19581000,GBP,RFB_X
LIM0144,Xccy Swap,E013,E041,8226000,2239000,GBP,RFB_X
LIM0145,Payment Intraday,E018,E048,1578000,771000,GBP,RFB_X
LIM0146,FX Forward,E040,E013,23837000,11709000,GBP,NRFB_X
LIM0147,Xccy Swap,E018,E053,4295000,2628000,GBP,RFB_X
LIM0148,Payment Intraday,E006,E019,10953000,7103000,GBP,RFB_INTERNAL
LIM0149,Bond Borrow,E041,E019,9796000,-1958000,GBP,NRFB_X
LIM0150,Xccy Swap,E006,E061,23758000,178000,GBP,RFB_X
LIM0151,Payment Intraday,E039,E060,1516000,658000,GBP,NRFB_CROSS
LIM0152,Overdraft,E008,E019,11396000,-73000,GBP,RFB_INTERNAL
LIM0153,FX Forward,E011,E050,5517000,1966000,GBP,RFB_X
LIM0154,Xccy Swap,E011,E053,10237000,5712000,GBP,RFB_X
LIM0155,Bond Borrow,E014,E013,720000,201000,GBP,Retail Co_CORE
LIM0156,Overdraft,E038,E014,20900000,-1228000,GBP,NRFB_X
LIM0157,Payment Intraday,E039,E061,13282000,2384000,GBP,NRFB_CROSS
LIM0158,FX Forward,E059,E046,486000,269000,GBP,NRFB_CROSS
LIM0159,Committed Repo,E010,E061,29189000,19109000,GBP,RFB_X
LIM0160,FX Forward,E057,E018,2049000,1372000,GBP,NRFB_X
LIM0161,Committed Repo,E003,E032,151235000,17268000,GBP,NRFB_CROSS
LIM0162,Committed Repo,E015,E001,6611000,6551000,GBP,RFB_INTERNAL
LIM0163,Overdraft,E023,E055,28929000,19789000,GBP,NRFB_CROSS
LIM0164,Overdraft,E006,E058,47653000,29989000,GBP,RFB_X
LIM0165,Overdraft,E004,E032,103535000,35778000,GBP,NRFB_CROSS
LIM0166,Committed Loan,E028,E039,16537000,8890000,GBP,NRFB_CROSS
LIM0167,Xccy Swap,E045,E033,4682000,-255000,GBP,NRFB_CROSS
LIM0168,FX Forward,E053,E022,22144000,-1070000,GBP,NRFB_X
LIM0169,Bond Borrow,E045,E059,4439000,1994000,GBP,NRFB_CROSS
LIM0170,FX Forward,E043,E055,4664000,3235000,GBP,NRFB_CROSS
LIM0171,Payment Intraday,E004,E017,65692000,14131000,GBP,NRFB_X
LIM0172,Payment Intraday,E058,E060,2207000,68000,GBP,NRFB_CROSS
LIM0173,Committed Repo,E056,E061,5291000,-1017000,GBP,Equit Co_NRFB
LIM0174,Payment Intraday,E024,E032,32506000,29169000,GBP,Comm Co_NRFB
LIM0175,Xccy Swap,E015,E021,4656000,4000,GBP,Retail Co_CORE
LIM0176,Committed Repo,E057,E052,8035000,2249000,GBP,Deriv Co_NRFB
LIM0177,Payment Intraday,E046,E049,3846000,90000,GBP,NRFB_CROSS
LIM0178,Committed Loan,E039,E022,23830000,8963000,GBP,NRFB_X
LIM0179,Committed Loan,E026,E032,16542000,-1518000,GBP,NRFB_CROSS
LIM0180,Overdraft,E003,E059,148112000,134543000,GBP,NRFB_CROSS
LIM0181,FX Forward,E039,E058,6073000,1401000,GBP,NRFB_CROSS
LIM0182,Committed Loan,E032,E044,9198000,8028000,GBP,NRFB_CROSS
LIM0183,Committed Repo,E055,E019,6130000,472000,GBP,NRFB_X
LIM0184,Bond Borrow,E013,E057,3284000,1977000,GBP,RFB_X
LIM0185,Committed Repo,E002,E009,40062000,10677000,GBP,NRFB_X
LIM0186,Committed Repo,E014,E017,774000,-32000,GBP,Retail Co_CORE
LIM0187,Committed Repo,E010,E036,25420000,-4863000,GBP,RFB_X
LIM0188,Committed Loan,E015,E016,5102000,3837000,GBP,Retail Co_CORE
LIM0189,Payment Intraday,E006,E046,70675000,-12193000,GBP,RFB_X
LIM0190,Committed Loan,E002,E005,104476000,-13407000,GBP,NRFB_X
LIM0191,Committed Loan,E012,E024,8170000,7442000,GBP,RFB_X
LIM0192,FX Forward,E002,E019,168476000,-16730000,GBP,NRFB_X
LIM0193,Bond Borrow,E030,E000,6937000,1249000,GBP,NRFB_CROSS
LIM0194,Bond Borrow,E018,E013,8422000,7155000,GBP,RFB_INTERNAL
LIM0195,Payment Intraday,E009,E058,15778000,2161000,GBP,RFB_X
LIM0196,Overdraft,E057,E056,9431000,8171000,GBP,NRFB_CROSS
LIM0197,Committed Repo,E012,E005,26364000,25465000,GBP,RFB_INTERNAL
LIM0198,Bond Borrow,E045,E016,7109000,-1097000,GBP,NRFB_X
LIM0199,Payment Intraday,E000,E016,431780000,-78705000,GBP,NRFB_X
LIM0200,FX Forward,E003,E002,42200000,-4953000,GBP,NRFB_CROSS
LIM0201,Committed Loan,E000,E055,408736000,319608000,GBP,NRFB_CROSS
LIM0202,Overdraft,E045,E015,6095000,1914000,GBP,NRFB_X
LIM0203,Committed Loan,E025,E034,27777000,6260000,GBP,Resi Co_NRFB
LIM0204,Committed Loan,E039,E043,18364000,10382000,GBP,Trust Co_NRFB
LIM0205,Bond Borrow,E038,E006,28714000,16718000,GBP,NRFB_X
LIM0206,Payment Intraday,E034,E011,1130000,784000,GBP,NRFB_X
LIM0207,Payment Intraday,E004,E014,41453000,29166000,GBP,NRFB_X
LIM0208,Overdraft,E007,E015,68238000,34499000,GBP,RFB_INTERNAL
LIM0209,Payment Intraday,E056,E019,2611000,2088000,GBP,NRFB_X
LIM0210,Xccy Swap,E044,E035,6266000,3847000,GBP,NRFB_CROSS
LIM0211,Bond Borrow,E024,E020,77887000,32933000,GBP,NRFB_X
LIM0212,Overdraft,E004,E049,116709000,107442000,GBP,NRFB_CROSS
LIM0213,Payment Intraday,E043,E048,15844000,13334000,GBP,Trust Co_NRFB
LIM0214,Xccy Swap,E052,E008,10219000,5342000,GBP,NRFB_X
LIM0215,Bond Borrow,E052,E035,48918000,34857000,GBP,NRFB_CROSS
LIM0216,Overdraft,E012,E002,6388000,1492000,GBP,RFB_X
LIM0217,Bond Borrow,E054,E006,6736000,2768000,GBP,NRFB_X
LIM0218,Committed Repo,E010,E012,19275000,7301000,GBP,RFB_INTERNAL
LIM0219,Committed Repo,E006,E026,20731000,2775000,GBP,RFB_X
LIM0220,FX Forward,E008,E034,22216000,8419000,GBP,RFB_X
LIM0221,Xccy Swap,E031,E032,2757000,2572000,GBP,NRFB_CROSS
LIM0222,Bond Borrow,E053,E017,9822000,-1620000,GBP,NRFB_X
LIM0223,Committed Loan,E024,E002,6070000,5609000,GBP,NRFB_CROSS
LIM0224,Committed Loan,E043,E041,17283000,-573000,GBP,Trust Co_NRFB
LIM0225,Bond Borrow,E043,E054,6269000,1545000,GBP,NRFB_CROSS
LIM0226,Bond Borrow,E005,E003,12722000,-947000,GBP,RFB_X
LIM0227,Bond Borrow,E052,E021,75717000,21105000,GBP,NRFB_X
LIM0228,Overdraft,E032,E034,9947000,5320000,GBP,NRFB_CROSS
LIM0229,Bond Borrow,E024,E055,32652000,6978000,GBP,NRFB_CROSS
LIM0230,Xccy Swap,E003,E044,191297000,143135000,GBP,NRFB_CROSS
LIM0231,Bond Borrow,E042,E046,7053000,526000,GBP,Trust Co_NRFB
LIM0232,Committed Repo,E025,E006,12101000,7296000,GBP,NRFB_X
LIM0233,Xccy Swap,E050,E058,38000,2000,GBP,NRFB_CROSS
LIM0234,Bond Borrow,E003,E026,98651000,54086000,GBP,NRFB_CROSS
LIM0235,Committed Loan,E008,E029,24481000,-2446000,GBP,RFB_X
LIM0236,Overdraft,E002,E022,45964000,36435000,GBP,NRFB_X
LIM0237,Committed Repo,E055,E008,5248000,1930000,GBP,NRFB_X
LIM0238,Committed Loan,E051,E050,49000000,42955000,GBP,NRFB_CROSS
LIM0239,Overdraft,E033,E047,1574000,121000,GBP,NRFB_CROSS
LIM0240,Committed Loan,E021,E032,1404000,310000,GBP,RFB_X
LIM0241,Overdraft,E035,E006,1064000,469000,GBP,NRFB_X
LIM0242,Bond Borrow,E024,E056,9284000,580000,GBP,NRFB_CROSS
LIM0243,Xccy Swap,E003,E038,93864000,-16692000,GBP,NRFB_CROSS
LIM0244,Xccy Swap,E008,E019,12264000,-385000,GBP,RFB_INTERNAL
LIM0245,Payment Intraday,E008,E026,27302000,16110000,GBP,RFB_X
LIM0246,Bond Borrow,E040,E038,19362000,-3131000,GBP,NRFB_CROSS
LIM0247,Payment Intraday,E007,E036,70843000,-2764000,GBP,RFB_X
LIM0248,Committed Repo,E053,E035,8817000,-471000,GBP,NRFB_CROSS
LIM0249,Bond Borrow,E025,E031,23849000,21690000,GBP,Resi Co_NRFB
LIM0250,FX Forward,E039,E014,3139000,3096000,GBP,NRFB_X
LIM0251,Xccy Swap,E032,E006,3345000,2623000,GBP,NRFB_X
LIM0252,Xccy Swap,E025,E054,2314000,54000,GBP,NRFB_CROSS
LIM0253,Overdraft,E051,E058,29641000,944000,GBP,NRFB_CROSS
LIM0254,Bond Borrow,E011,E032,18121000,4995000,GBP,RFB_X
LIM0255,Overdraft,E007,E055,44756000,2683000,GBP,RFB_X
LIM0256,FX Forward,E041,E032,14715000,-1001000,GBP,NRFB_CROSS
LIM0257,Xccy Swap,E061,E039,499000,481000,GBP,NRFB_CROSS
LIM0258,Overdraft,E001,E035,61244000,4352000,GBP,RFB_X
LIM0259,Xccy Swap,E053,E047,5142000,560000,GBP,NRFB_CROSS
LIM0260,Overdraft,E016,E051,4565000,3797000,GBP,RFB_X
LIM0261,Xccy Swap,E013,E034,27959000,21595000,GBP,RFB_X
LIM0262,Payment Intraday,E038,E018,14596000,-2726000,GBP,NRFB_X
LIM0263,Bond Borrow,E046,E012,332000,141000,GBP,NRFB_X
LIM0264,Overdraft,E045,E056,7261000,5907000,GBP,NRFB_CROSS
LIM0265,FX Forward,E052,E049,30874000,20147000,GBP,NRFB_CROSS
LIM0266,FX Forward,E035,E013,1629000,741000,GBP,NRFB_X
LIM0267,Committed Loan,E020,E022,1780000,-39000,GBP,Retail Co_CORE
LIM0268,Committed Loan,E002,E043,37483000,-3711000,GBP,NRFB_CROSS
LIM0269,Committed Loan,E052,E034,42853000,37887000,GBP,NRFB_CROSS
LIM0270,Committed Repo,E025,E014,24730000,5776000,GBP,NRFB_X
LIM0271,Committed Loan,E003,E060,179076000,56564000,GBP,NRFB_CROSS
LIM0272,Bond Borrow,E008,E053,23136000,14585000,GBP,RFB_X
LIM0273,Bond Borrow,E015,E046,2877000,2875000,GBP,RFB_X
LIM0274,Bond Borrow,E026,E041,1416000,747000,GBP,NRFB_CROSS
LIM0275,Bond Borrow,E002,E018,100568000,6071000,GBP,NRFB_X
LIM0276,Overdraft,E032,E048,7109000,78000,GBP,NRFB_CROSS
LIM0277,Payment Intraday,E027,E023,23861000,20060000,GBP,NRFB_CROSS
LIM0278,Committed Loan,E000,E038,227297000,195815000,GBP,NRFB_CROSS
LIM0279,Committed Repo,E013,E047,17856000,-2059000,GBP,RFB_X
LIM0280,Bond Borrow,E046,E037,8490000,152000,GBP,NRFB_CROSS
LIM0281,Committed Repo,E041,E060,2399000,-347000,GBP,NRFB_CROSS
LIM0282,Overdraft,E046,E022,4613000,3009000,GBP,NRFB_X
LIM0283,Overdraft,E007,E017,23593000,19088000,GBP,RFB_INTERNAL
LIM0284,Payment Intraday,E011,E044,4104000,3855000,GBP,RFB_X
LIM0285,Bond Borrow,E000,E009,355290000,-50555000,GBP,NRFB_X
LIM0286,Committed Repo,E050,E027,275000,264000,GBP,NRFB_CROSS
LIM0287,Committed Repo,E048,E046,731000,632000,GBP,Trust Co_NRFB
LIM0288,Committed Repo,E021,E019,924000,240000,GBP,RFB_INTERNAL
LIM0289,Overdraft,E044,E019,8565000,6387000,GBP,NRFB_X
LIM0290,Overdraft,E034,E017,1412000,652000,GBP,NRFB_X
LIM0291,Bond Borrow,E018,E037,4327000,2581000,GBP,RFB_X
LIM0292,Committed Loan,E011,E034,25760000,5918000,GBP,RFB_X
LIM0293,Committed Loan,E010,E021,2453000,2323000,GBP,Retail Co_CORE
LIM0294,Overdraft,E038,E016,70079000,57836000,GBP,NRFB_X
LIM0295,Overdraft,E020,E027,1208000,94000,GBP,RFB_X
LIM0296,Bond Borrow,E000,E033,358074000,189164000,GBP,NRFB_CROSS
LIM0297,Overdraft,E001,E007,114042000,58361000,GBP,RFB_INTERNAL
LIM0298,Committed Loan,E009,E019,17865000,4861000,GBP,Fin Co_CORE
LIM0299,Committed Repo,E003,E031,119774000,70508000,GBP,NRFB_CROSS
LIM0300,Payment Intraday,E000,E036,470383000,27672000,GBP,NRFB_CROSS
